Libellé;Code;Périodicité (PERIODICITE);Coordinateur Pédagogique (COORDO_PEDAGO);Nb jours Total (NB_JOUR);Nb d'heures Total (NB_HEUR);Taux de rémunération (CLPRIX);Prix (FIC_PRIX);Objectif (FIC_OBJ);Public (FIC_PUBLIC);Choisir son cours ou son niveau (CHOIX_COURS_NIV_UE);Prérequis (FIC_PRE_REQ_DES);Auto-Test (AUTOTEST_UE);Programme (FIC_DES_PRG);Renseignements Complémentaires (RENS_COMP_UE);Période(s) d'inscription (FIC_MODAL_INSCRIP);Organisation des sessions (FIC_ORG_SESS);Calendrier (FIC_CAL);Outils pédagogiques (FIC_OUTI_PEDAGO);Stage(s) (FIC_STAGE);Equipements spécifiques (FIC_EQUIP_SPE);Fournitures (FIC_FOURNITUR);Tenues professionnelles (FIC_TENU_PRO);En savoir plus (SAVOIR_PLUS_UE);Lien vers un autre site (LIEN_AUTRE_SITE_UE);Nouveau (FIC_NOUVEAU);Logo certificat de compétence (LOGO01);Logo Diplôme (LOGO02);Logo Cité des métiers (LOGO10);Logo Ecole Du Breuil (LOGO09);Logo Open Badge (LOGO13)
Retoucher vos photos avec GIMP et monter une vidéo en ligne avec CLIPCHAMP, CANVA;CREA/RETOUCH;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;260;Acquérir les bases du traitement de vos photos destinées à des supports visuels, réseaux sociaux et flyer….  Créer, monter et publier une vidéo sur les réseaux sociaux. ;Toute personne ayant un projet de communication associant l’image et la vidéo : poster dans un blog, partager dans les réseaux sociaux ou encore créer et imprimer vos photos dans un album, dans un magazine.  Les applications utilisées sont gratuites et libre de droits et fonctionnent aussi bien dans l’environnement Mac que Pc. ;;Maîtriser l’environnement Windows ou Mac.;;Retoucher ses photos : · concevoir une image    Gestion des calques et des masques de calques. · Protéger ses photos avec un Copyright. · Travailler avec le mode rvb et cmjn.  Monter une vidéo : · Retravailler les clips et leurs bandes sonores. · Gérer votre time line. · Exporter dans différents formats. · Publier sur YouTube, etc. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;;;;;;
Design textile, les fondamentaux;CREATEXT/1;Cours annuel;GUY Claude;30;90;Taux 1;300;Acquérir les connaissances nécessaires à l’élaboration de collections de dessins textiles. Ce module fait partie du parcours métier «Designer textile».;Etudiants, personnes ayant un projet professionnel dans le domaine du design textile.;;Avoir un projet dans le domaine du Design textile;;Recherches préalables à toute création de collection : élaboration et mise au point de planches d’ambiance, de gammes, de motifs, de matières et de couleurs.  Constitution d’un carnet de recherches de motifs de documentations sur un thème personnel.                                                                                                                                                               Travail des contraintes attachées aux domaines de la mode et de la maison et en rapport avec les impératifs professionnels.                                                                                                               Un travail personnel en dehors des cours est demandé.;ATTENTION: Ce cours a lieu dans une salle avec accès mobilité réduite.  A l’issue de votre formation et sous réserve de la validation de vos acquis, les Cours d’Adultes de Paris vous attribueront un certificat de compétences sous forme de badge numérique appelé « Open Badge », à faire valoir auprès de tout employeur. Il vous sera adressé par courriel, un lien à valider. ;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 3h hebdomadaires.  De 18h30 à 21h30. École Renard, 16, rue du Renard Paris (4e) ;;;;Fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant. Papier à dessin épais 200g (A4/ A3) Papier blanc format raisin, quelques feuilles (plutôt en fin d’année) Pinceaux et brosses à poils doux de différente tailles Acrylique gros tube 125 mml, 1 kit : cyan, magenta, jaune primaire, noir, blanc  Feutres ordinaires noirs fins, moyens, gros et un marqueur Une règle ASSEMBLAGES : Colle Ruban adhésif ordinaire.;;;;;Oui;;;;Oui
Design textile : création de motifs textiles, techniques traditionnelles et numériques;CREATEXT/2;Semestriel;GUY Claude;15;45;Taux 2;240;S’initier à des expérimentations plastiques traditionnelles et numériques et les traiter avec le logiciel Photoshop. Approfondir l’utilisation des fonctions du logiciel Photoshop pour la recherche de motifs textiles ou de visuels graphiques.;Personnes ayant un projet dans le domaine du Design textile, candidats aux concours d’entrée dans les écoles appliqués et désireux de se constituer un dossier de travaux personnels.;;Avoir une pratique graphique ou plastique. Connaitre le logicel Photoshop, ses outils et fonctions de base. Admission sur entretien le 1er jour du cours.   ;;Initiation à des techniques plastiques mixtes et d’impressions : gelli-print, tampon, monotype…  Expérimentations plastiques sur un thème personnel.   Création d’une planche d’ambiance. Scannage des motifs et des visuels : nettoyage, retouche, colorisation, mise au raccord pour les motifs textiles avec le logiciel Photoshop.  Présentation de travaux d’artistes et de designers textiles;A l’issue de votre formation et sous réserve de la validation de vos acquis, les Cours d’Adultes de Paris vous attribueront un certificat de compétences sous forme de badge numérique appelé « Open Badge », à faire valoir auprès de tout employeur. Il vous sera adressé par courriel, un lien à valider.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.;;Semestre 1 : du jeudi 10 octobre 2024 au jeudi 13 février 2025 inclus. 3h hebdomadaires École keller, 4 rue Keller (11e) ;;;;Fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant. Blouse Gants Chiffons Tissus Papiers Peintures acryliques Pinceaux ;;;;;Oui;;;;Oui
Créer des sites Web à l'aide d'outils gratuits de publication de contenus : Jimdo, Wix, WordPress;CREAWEB;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;260;S'initier à la création de sites web et de blogs, et publier des contenus  interactifs à l'aide d'outils en ligne gratuits (jimdo, wix, wordpress) sans connaissance des langages informatiques. ;Toute personne souhaitant mettre en place un site web et autres contenus en ligne dans le but de  promouvoir son activité quel que soit le domaine.;;Avoir une utilisation régulière d’un ordinateur (PC ou Mac) et être à l’aise sur internet. ;;Les pages et leur mise en forme :  . Créer des pages. . Ajouter du contenu : texte, images, vidéos.  . Gestion des commentaires et des boutons de partage (les réseaux sociaux).  La barre de navigation :  . Créer un menu et lui appliquer un design.  La page Blog :  . Créer des articles.  . Les liens hypertextes, le flux RSS.  . Personnaliser les éléments du Blog.   Outils pour le site :  . Flux d’une page Facebook, d’un compte Instagram, Twitter.  . Événements à venir.  . Site multilingue.   Protection des pages :  . Protéger une/des pages avec un mot de passe. . Masquer des pages du menu principal .  Le référencement / SEO :  . Qu’est-ce que le référencement naturel ?  . La fonction des moteurs de recherche dans l’indexation des pages web.  . Comment faire en sorte que les pages de notre site soient bien référencées ?   Le domaine :  . Importance du nom de domaine (adresse du site), notamment pour le référencement.  . Choisir un nom de domaine pertinent. . Choisir une extension pertinente (com, .fr ou autre).;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.  ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires. ;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;Non;Non;Non;Non;Non;
Consolidation des savoirs fondamentaux;CSF;Cours annuel;BOUSQUET Denis;150;300;Taux 1;90;Se réapproprier les bases du français, des mathématiques, de l’anglais et de l'espagnol.;Personne francophone qui envisage de poursuivre des études en vue, par exemple, de préparer un C.A.P., de s'inscrire en classe de seconde pour préparer un baccalauréat général, technique ou professionnel ou encore d'accéder à une préparation à un concours administratif de catégorie C.;;Avoir suivi une scolarisation en France jusqu’aux classes de 4ème ou de 3ème ou avoir un niveau de français équivalent.  Admission sur test.;;Quatre matières sont enseignées selon un rythme annuel : Français (4 heures hebdomadaires), mathématiques (2 heures hebdomadaires), anglais (2 heures hebdomadaires), espagnol (2 heures hebdomadaires).  Français :  - rédiger (orthographe, conjugaisons, construction des phrases)   - repérer différents types de texte (narration, description, argumentation…)   - convaincre à l’écrit   - comprendre un texte, etc.  Mathématiques : - activités numériques, algébriques, de compréhension et géométriques  Anglais : - entraînement progressif à la compréhension et à l’utilisation de la langue à l’oral comme à l’écrit.  Espagnol : - entraînement progressif à la compréhension et à l’utilisation de la langue à l’oral comme à l’écrit.   ATTENTION :  La pédagogie proposée requiert des auditeurs une implication personnelle dans les cours, tant par leur participation orale que par la production de travaux écrits.;Un soutien en anglais pourra être proposé le samedi matin.;Inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus ;;Du lundi 07 octobre 2024 au lundi 30 juin 2025 inclus  10 heures hebdomadaires  Admission sur test le jeudi 19 septembre 2024 de 18 h 30 à 20 h 30 à Saint-Jacques.  ;;;;;;;;Non;Oui;Non;Non;Non;
Costumier-ère de spectacle, formation complémentaire;CST SPEC;Cours annuel;GENAUDEAU Béatrice;90;315;Taux 2;200;"Connaître l’histoire du costume et les techniques de coupe de la Renaissance au XIXème siècle. Ce module fait partie du parcours métier ""Costumier.ière de spectacle ». ";Personnes ayant un projet professionnel dans le domaine du costume de spectacle.;;Être titulaire d’un C.A.P., d’un B.E.P. ou d’un baccalauréat professionnel Métiers de la mode ou posséder un niveau équivalent à ces différents diplômes.      Admission sur  test et entretien le 1er jour des cours en présentiel.    Ce cours se déroulera en mode hybride, alternant présentiel et distanciel. Pour participer à cette session, il est nécessaire de : - Disposer d’un ordinateur connecté à Internet.  - Être familiarisé avec l’utilisation des outils de visioconférence.;;Cours théorique d’histoire du costume de l'Antiquité à nos jours : le lundi soir en distanciel. Mardi et jeudi en présentiel :  Élaboration et fabrication d'un élément de costume.   Technologie des textiles et des matériels. Cette formation peut être étoffée par les formations Art de la plume et surcyclage, initiation et approfondissement. ;Les techniques enseignées ne peuvent être maîtrisées sans entraînement ni travail personnel.;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;10h30 hebdomadaires, dont 3h30 en distanciel le lundi soir.    Ce cours se déroulera en mode hybride, alternant présentiel et distanciel.  Cours annuel : lundi, mardi et jeudi de 18h15 à 21h45 Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. Admission sur test et entretien le 1er jour des cours en présentiel.;;;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail. Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc) Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";Fournitures à la charge des auditeurs, à prévoir et à ajuster selon les consignes du formateur.;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;;Oui;;;;Oui
Création textile: surcyclage-upcycling et transformations - Initiation;CT1;Semestriel;GENAUDEAU Béatrice;15;45;Taux 1;120;"S’initier aux différentes techniques de création de matières afin de créer des échantillons (collection ou œuvre), réaliser ou actualiser un dossier de création de matières en limitant l’utilisation de matières neuves et en privilégiant des matières/matériaux de récupération. Ce module fait partie des parcours métier ""Designer textile"" et ""Styliste de mode"".";Personnes ayant un projet professionnel dans les métiers de la mode écoresponsable : design textile, broderie, plumasserie, chapellerie, stylisme, retouche…;https://scap.paris.fr/uploads/PARCOURS_DE_FORMATION_Broderie-Création_textile_2024-25.pdf;Savoir utiliser une machine à coudre familiale. Avoir une sensibilité et une connaissance de l’univers textile. IMPORTANT : RECRUTEMENT SUR DOSSIER REPRÉSENTATIF DU SAVOIR-FAIRE (à préparer, 5 pages maximum au format A3 ou A4) : maquettes textiles, dessins de stylisme de mode, œuvres diverses, photographies de réalisations, en lien avec le textile et les matériaux souples, etc. NE PAS ENVOYER D’ORIGINAUX, mais un dossier au format PDF, 9 MÉGAOCTECTS MAXIMUM à envoyer à l’adresse mail suivante : dasco-scap-bfp@paris.fr avant le 16 septembre 2024.;;Définitions : surcyclage, création textile. Apprentissage de différentes techniques d'ennoblissement textile : feutrage à l'aiguille (needle felting et autres techniques), peinture sur tissu, technique du shibori/arashi, initiation à la broderie créative et au tissage (weaving), plissé au carton, piqué libre, slashing textile, smocks et matelassage…. ;Les techniques enseignées ne peuvent être maîtrisées sans entraînement ni travail personnel.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.  ;;Cours semestriel. Le lundi de 18h30 à 21h30. 15 cours de 3 h hebdomadaires.  ;;;;Une liste de fournitures sera remise lors du 1er cours (à la charge des auditeurs). Prévoir des tissus, des échantillons et des matériaux de récupération. Pour le 1er cours : un mètre de thermo-fusant double face sur papier, petits ciseaux pointus, règle et crayon, papier cuisson, chutes de tissu. ;;;;Oui;;;;;
Création textile: surcyclage-upcycling et transformations - Approfondissement;CT2;Semestriel;GENAUDEAU Béatrice;15;45;Taux 1;120;"Se perfectionner dans différentes techniques de création textile. Développer une collection de matières ou une œuvre textile en limitant l’utilisation de matières neuves et en privilégiant des matières/matériaux de récupération. Ce module fait partie des parcours métier ""Designer textile"" et ""Styliste de mode"". ";Personnes ayant un projet professionnel dans les métiers de la mode et du textile : création et design textile, broderie, plumasserie, chapellerie, etc…);https://scap.paris.fr/uploads/PARCOURS_DE_FORMATION_Broderie-Création_textile_2024-25.pdf;Avoir suivi la session Création textile et surcyclage : matières et surfaces - Initiation ou posséder les compétences équivalentes. IMPORTANT : RECRUTEMENT SUR DOSSIER REPRÉSENTATIF DU SAVOIR-FAIRE (à préparer, 5 pages maximum format A3 ou A4) : dessins de mode, photographies de réalisations, en lien avec le textile et les matériaux souples, etc. au format PDF, 9 MÉGAOCTECTS MAXIMUM, à envoyer à l’adresse mail suivante : dasco-scap-bfp@paris.fr ;;Approfondissement d’une ou plusieurs techniques acquises en initiation, appliquée (ées) pour un projet professionnel ou artistique en lien avec le surcyclage.;Les techniques enseignées ne peuvent être maîtrisées sans entraînement ni travail personnel.;Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Cours semestriel. Le lundi de 18h30 à 21h30. 15 cours de 3 h hebdomadaires.  ;;;;Une liste de fournitures sera remise lors du 1er cours (à la charge des auditeurs). Prévoir des tissus, des échantillons et des matériaux de récupération. ;;;;Oui;;;;;
Contrôle de gestion et reporting sous Excel;CTRL G/EXC;Semestriel;GUERTAOUI Abdelaziz;15;30;Taux 2;130;Maîtriser les outils de contrôle de gestion et élaborer des reporting sur tableur.;Personnes souhaitant construire des tableaux de bord sur Excel.;;Connaître les fondements de la comptabilité générale et les fonctions de base d’Excel.;;Méthode des coûts complets. Calcul des coûts et du résultat analytique. Méthode des coûts directs.  Prévisions à court terme : budgets des achats, des ventes, de production, de TVA… Budget de trésorerie et simulations d’équilibrage sous Excel.  Compte de résultat prévisionnel. Surplus de productivité globale. Analyse stratégique, plan budget et contrôle. Contrôle de gestion et centres de responsabilité. Reporting et tableaux de bord. ;Les personnes souhaitant renforcer et/ou élargir leurs compétences peuvent suivre la formation semestrielle de « Contrôle de gestion » ou « Gestion financière » (en préalable ou simultanément).  Voir la rubrique Entreprise dans le catalogue en ligne. ;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  2 heures hebdomadaires. ;;;;;;;;Non;Oui;Non;Non;Non;Non
Cuisine et desserts du monde;CUIS/DM;Semestriel;FARAH Reda;15;60;Taux 1;230;Les recettes de vos chefs de cuisine, simples à réaliser dans un minimum de temps. Apprendre les bases de la cuisine et des recettes pour un tour du monde en cuisine.;Personnes à la recherche d’un complément de formation dans le domaine de la cuisine et de la restauration.;;Avoir un niveau minimum de fin de troisième. ;;Initiation aux techniques culinaires. Réalisation de recettes traditionnelles à partir de produits frais et semi-élaborés USA : Jambalaya de poulet, Hongrie : Goulasch Hongrois, Irlande : Irish Stew, Afrique : Mafé de poulet, Espagne : Paella Valencia, talie : Lasagne Bolognaise France : Paris-Brest, Belgique : Carbonnade Flamande, Angleterre : Muffin, Portugal : Bacalahau à Bras, La pâte feuilleté Végane :tarte fine salée aux oignons caramélisés, Chine Omelette Fou Yong aux crevettes, Portugal : Bolinhos de Bacalahau, Asie : Gruau de choux fleurs  . Apprentissage des règles d’hygiène et de sécurité. Entretien du matériel et des locaux.;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre au samedi 15 février 2025 inclus.  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  4 heures hebdomadaires.   Test anticipé à Alexandre Dumas le vendredi 20 septembre de 17h00 à 21h00. ;;;;Le matériel spécifique nécessaire sera prêté par l’établissement.;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire). Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire. Elle est à la charge de chaque auditeur.  ;;;Oui;;;;;
Eco-cuisine, valoriser les produits de saison en circuit court;CUIS/ECO;Semestriel;FARAH Reda;15;60;Taux 1;220;Faire découvrir la pratique d’une cuisine locale de saison à partir de produits frais issus du circuit court.;Tous publics;;Avoir des notions de cuisine simples et des notions d’hygiène élémentaire.    Avoir un niveau minimum de fin de troisième. ;;Fabrication de plats traditionnels à base de produits du marché, ou de produits issus de la fabrication locale en circuit court (production du jardin du collège).  Connaissance des différentes herbes aromatiques, fruits et légumes de saison, cultivables sur place et dans la région. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre au samedi 15 février 2025 inclus.  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  4 heures hebdomadaires.   Test anticipé le mercredi 17 septembre 2024 de 17h30 à 21h30 à Pailleron. ;;;;Attention, ce cours nécessite l'achat d'une tenue professionnelle (veste, pantalon, coiffe, chaussures et torchons, environ 110 €) et d'une mallette de matériels spécifiques (de 150 à 220 €). Après sélection, ce matériel est exigé des auditeurs dès le premier cours et à chaque cours.;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire).   Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire.  Elle est à la charge de chaque auditeur. ;;;Non;;;;;
Cuisine italienne;CUIS/IT;Semestriel;FARAH Reda;15;60;Taux 1;230;Se spécialiser en cuisine et gastronomie italienne.  Accords mets/vins italiens. ;Personnes qualifiées en cuisine (diplôme de cuisine ou certification en cuisine) souhaitant se spécialiser en cuisine italienne.  Personnel de cuisine souhaitant acquérir des connaissances et les compétences en cuisine italienne.;;Avoir des compétences en cuisine (CAP cuisine, Bac cuisine, Certification en cuisine)  Avoir un niveau minimum de CAP Cuisine. ;;Spécialisation en cuisine italienne et gastronomie italienne :  Production de pâtes fraiches (courtes, longues, fourrées) et de leurs sauces d’accompagnement.  Préparation de plats à base de pâtes sèches et de leur sauce d’accompagnement.  Préparation de risottos.  Préparation de plats de légumes.  Préparation de plats à base de viande.  Préparation de plats à base de poissons.  Pizza, foccaccia et piadina.  Polenta et accompagnements.  Plats à base de fromages.  Desserts.  Accords mets/vins italiens. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre au samedi 15 février 2025 inclus  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus  4 heures hebdomadaires.   Test anticipé à Guillaume Tirel les mardi 17 septembre 2024. 17h30-21h30 ;;;;Attention, ce cours nécessite l'achat d'une tenue professionnelle (veste, pantalon, coiffe, chaussures et torchons, environ 110 €) et d'une mallette de matériels spécifiques (de 150 à 220 €). Après sélection, ce matériel est exigé des auditeurs dès le premier cours et à chaque cours. ;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire). Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire. Elle est à la charge de chaque auditeur sur proposition du lycée (tenue réglementaire de cuisine et mallette à couteaux) ;;;;;;;;
Cuisine et pâtisserie du terroir français;CUIS/REG;Semestriel;FARAH Reda;15;60;Taux 1;230;Les recettes de vos chefs de cuisine, simples à réaliser dans un minimum de temps.  Apprendre les bases de la cuisine française et les mettre en pratique.  Exemple :  Pâte à chou et choux pâtissiers.  Le bœuf bourguignon revisité. ;Personnes à la recherche d’un complément de formation dans le domaine de la cuisine et de la restauration.;;Avoir un niveau minimum de fin de troisième.   ;;"Initiation aux techniques culinaires . Réalisation de recettes traditionnelles à partir de produits frais et semi-élaborés. Préparation de fonds et de sauces. Étude des différentes pâtes, crèmes et appareils. 2	: Brandade de Morue, Tarte à la rhubarbe, Blanquette de veau riz pilaf, Tarte Normande, Choucroute Alsacienne, Choux pâtissiers ou Crème Chantilly, Darne de Colin sauce Mousseline pomme persillées, Cake aux fruits confits, Joue de bœuf à la Bourguignonne et pommes de terre, Financiers aux amandes,  Gratinée des Halles à l’oignon, Dacquoise, Pissaladière Niçoise,Tarte aux fruits de saison   Apprentissage des règles d’hygiène et de sécurité. Entretien du matériel et des locaux. ";;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre au samedi 15 férvrier 2025 inclus  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus  4 heures hebdomadaires.   test anticipé à Alexandre Dumas le mercredi 18 septembre 2024  ;;;;Le matériel spécifique nécessaire sera prêté par l’établissement. ;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire). Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire. Elle est à la charge de chaque auditeur.  1 blouse ou veste blanche en coton – 1 paire de chaussures de sécurité -1 pantalon de cuisine- des torchons;;;;;;;;
Cuisine traditionnelle - Initiation;CUIS/TRAD/1;Semestriel;FARAH Reda;15;60;Taux 1;220;Apprendre les bases de la cuisine française et les mettre en pratique.;Personnes travaillant ou souhaitant travailler dans le domaine de la restauration-cuisine.  Personnes souhaitant suivre une formation préalable à la formation CAP Cuisine ou Pâtisserie. ;;Avoir des notions de cuisine simples et des notions d’hygiène élémentaire.    Avoir un niveau minimum de fin de troisième.  Test de sélection le premier jour de formation.;;Initiation aux techniques culinaires :  . Réalisation de recettes traditionnelles à partir de produits frais et semi-élaborés.   . Préparation de fonds et de sauces.  . Étude des différentes pâtes, crèmes et appareils.   Apprentissage des règles d’hygiène et de sécurité.    Entretien du matériel et des locaux.;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre au samedi 15 février 2025 inclus.  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  4 heures hebdomadaires.   Test anticipé à Guillaume Tirel le lundi 16 septembre 2024. 17h30-21h30 Test anticipé à Édouard Pailleron le mardi 17 septembre 2024.  ;;;;Attention, ce cours nécessite l'achat d'une tenue professionnelle (veste, pantalon, coiffe, chaussures et torchons, environ 110 €) et d'une mallette de matériels spécifiques (de 150 à 220 €). Après sélection, ce matériel est exigé des auditeurs dès le premier cours et à chaque cours. ;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire).    Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire.  Elle est à la charge de chaque auditeur. ;;;Non;;;;;
Cuisine traditionnelle - Perfectionnement;CUIS/TRAD/2;Semestriel;FARAH Reda;15;60;Taux 1;220;Se perfectionner en techniques culinaires de cuisine française et les mettre en pratique.;Personnes travaillant ou souhaitant travailler dans le domaine de la restauration-cuisine.  Personnes souhaitant suivre une formation préalable à la formation CAP Cuisine ou Pâtisserie. ;;Avoir suivi une formation de cuisine, ou avoir une expérience professionnelle dans le domaine.    Avoir un niveau minimum de fin de troisième. ;;Perfectionnement aux techniques culinaires :  . Confection de recettes à partir de produits frais et semi-élaborés.   . Préparation de fonds et de sauces. . Réalisation de pâtes, crèmes et appareils.    Dans le respect des règles d’hygiène et de sécurité (personnes, matériels, locaux).;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre au samedi 15 février 2025 inclus.  4 heures hebdomadaires.   Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  4 heures hebdomadaires.   ;;;;Attention, ce cours nécessite l'achat d'une tenue professionnelle (veste, pantalon, coiffe, chaussures et torchons, environ 110 €) et d'une mallette de matériels spécifiques (de 150 à 220 €). Après sélection, ce matériel est exigé des auditeurs dès le premier cours et à chaque cours. ;Pour accéder à l’établissement, une tenue de ville est exigée (jeans et baskets à proscrire).    Pour les apprentissages professionnels, une tenue conforme aux exigences professionnelles est obligatoire.  Elle est à la charge de chaque auditeur. ;;;Non;;;;;
